30.03.2016 07:43:42 : USB-Диск не найден!
30.03.2016 03:08:48 : Всего скопировано: 4 файлов.
30.03.2016 03:36:46 : Копируем c:\uarm3\stg\acp\acp00000067.dat в E:\CB_IN\a3006960_067.epd
30.03.2016 03:36:46 : Копируем c:\uarm3\stg\acp\acp00000068.dat в E:\CB_IN\a3006960_068.esd
30.03.2016 03:36:46 : Копируем c:\uarm3\stg\acp\acp00000069.dat в E:\CB_IN\a3006960_069.esd
30.03.2016 03:36:46 : Копируем c:\uarm3\stg\acp\acp00000070.dat в E:\CB_IN\a3006960_070.esd
30.03.2016 03:36:46 : Всего скопировано: 4 файлов.
30.03.2016 03:53:36 : Копируем c:\uarm3\stg\acp\acp00000071.dat в E:\CB_IN\a3006960_071.esd
30.03.2016 03:53:37 : Копируем c:\uarm3\stg\acp\acp00000072.dat в E:\CB_IN\a3006960_072.epd
30.03.2016 03:53:37 : Всего скопировано: 2 файлов.
30.03.2016 04:06:20 : Копируем c:\uarm3\stg\acp\acp00000073.dat в E:\CB_IN\a3006960_073.epd
30.03.2016 04:06:21 : Копируем c:\uarm3\stg\acp\acp00000074.dat в E:\CB_IN\a3006960_074.esd
30.03.2016 04:06:21 : Копируем c:\uarm3\stg\acp\acp00000075.dat в E:\CB_IN\a3006960_075.esd
30.03.2016 04:06:21 : Копируем c:\uarm3\stg\acp\acp00000076.dat в E:\CB_IN\a3006960_076.epd
30.03.2016 04:06:21 : Копируем c:\uarm3\stg\acp\acp00000077.dat в E:\CB_IN\a3006960_077.esd
30.03.2016 04:06:21 : Копируем c:\uarm3\stg\acp\acp00000078.dat в E:\CB_IN\a3006960_078.esd
30.03.2016 04:06:21 : Всего скопировано: 6 файлов.
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000079.dat в E:\CB_IN\a3006960_079.esd
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000080.dat в E:\CB_IN\a3006960_080.epd
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000081.dat в E:\CB_IN\a3006960_081.esd
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000082.dat в E:\CB_IN\a3006960_082.esd
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000083.dat в E:\CB_IN\a3006960_083.epd
30.03.2016 04:23:10 : Копируем c:\uarm3\stg\acp\acp00000084.dat в E:\CB_IN\a3006960_084.esd
30.03.2016 04:23:10 : Всего скопировано: 6 файлов.
30.03.2016 04:37:24 : Копируем c:\uarm3\stg\acp\acp00000085.dat в E:\CB_IN\a3006960_085.esd
30.03.2016 04:37:24 : Копируем c:\uarm3\stg\acp\acp00000086.dat в E:\CB_IN\a3006960_086.esd
30.03.2016 04:37:24 : Всего скопировано: 2 файлов.
30.03.2016 05:11:52 : Копируем c:\uarm3\stg\acp\acp00000087.dat в E:\CB_IN\a3006960_087.epd
30.03.2016 05:11:52 : Копируем c:\uarm3\stg\acp\acp00000088.dat в E:\CB_IN\a3006960_088.esd
30.03.2016 05:11:52 : Копируем c:\uarm3\stg\acp\acp00000089.dat в E:\CB_IN\a3006960_089.esd
30.03.2016 05:11:52 : Копируем c:\uarm3\stg\acp\acp00000090.dat в E:\CB_IN\a3006960_090.epd
30.03.2016 05:11:52 : Всего скопировано: 4 файлов.
30.03.2016 05:24:57 : Копируем c:\uarm3\stg\acp\acp00000091.dat в E:\CB_IN\a3006960_091.epd
30.03.2016 05:24:57 : Копируем c:\uarm3\stg\acp\acp00000092.dat в E:\CB_IN\a3006960_092.esd
30.03.2016 05:24:57 : Копируем c:\uarm3\stg\acp\acp00000093.dat в E:\CB_IN\a3006960_093.esd
30.03.2016 05:24:57 : Копируем c:\uarm3\stg\acp\acp00000094.dat в E:\CB_IN\a3006960_094.esd
30.03.2016 05:24:58 : Копируем c:\uarm3\stg\acp\acp00000095.dat в E:\CB_IN\a3006960_095.esd
30.03.2016 05:24:58 : Всего скопировано: 5 файлов.
30.03.2016 05:35:41 : Копируем c:\uarm3\stg\acp\acp00000096.dat в E:\CB_IN\a3006960_096.esd
30.03.2016 05:35:41 : Копируем c:\uarm3\stg\acp\acp00000097.dat в E:\CB_IN\a3006960_097.esd
30.03.2016 05:35:41 : Всего скопировано: 2 файлов.
30.03.2016 05:42:11 : Копируем c:\uarm3\stg\acp\acp00000098.dat в E:\CB_IN\a3006960_098.esd
30.03.2016 05:42:11 : Копируем c:\uarm3\stg\acp\acp00000099.dat в E:\CB_IN\a3006960_099.epd
30.03.2016 05:42:11 : Копируем c:\uarm3\stg\acp\acp00000100.dat в E:\CB_IN\a3006960_100.esd
30.03.2016 05:42:11 : Копируем c:\uarm3\stg\acp\acp00000101.dat в E:\CB_IN\a3006960_101.esd
30.03.2016 05:42:11 : Всего скопировано: 4 файлов.
30.03.2016 05:50:05 : Копируем c:\uarm3\stg\acp\acp00000102.dat в E:\CB_IN\a3006960_102.esd
30.03.2016 05:50:05 : Копируем c:\uarm3\stg\acp\acp00000103.dat в E:\CB_IN\a3006960_103.esd
30.03.2016 05:50:05 : Всего скопировано: 2 файлов.
30.03.2016 06:04:08 : Копируем c:\uarm3\stg\acp\acp00000104.dat в E:\CB_IN\a3006960_104.esd
30.03.2016 06:04:08 : Копируем c:\uarm3\stg\acp\acp00000105.dat в E:\CB_IN\a3006960_105.epd
30.03.2016 06:04:08 : Копируем c:\uarm3\stg\acp\acp00000106.dat в E:\CB_IN\a3006960_106.esd
30.03.2016 06:04:08 : Копируем c:\uarm3\stg\acp\acp00000107.dat в E:\CB_IN\a3006960_107.esd
30.03.2016 06:04:08 : Всего скопировано: 4 файлов.
